gene,log2FC_trt_vs_veh,detected,model,signature,compartment
H2-Aa,-0.669,True,AAP16,apCAF,stroma(mouse)
H2-Ab1,-1.026,True,AAP16,apCAF,stroma(mouse)
Cd74,-0.727,True,AAP16,apCAF,stroma(mouse)
Saa3,4.64,True,AAP16,apCAF,stroma(mouse)
Slpi,3.642,True,AAP16,apCAF,stroma(mouse)
Il6,3.531,True,AAP16,SASP,stroma(mouse)
Cxcl1,3.233,True,AAP16,SASP,stroma(mouse)
Cxcl2,6.912,True,AAP16,SASP,stroma(mouse)
Cxcl3,6.591,True,AAP16,SASP,stroma(mouse)
Ccl2,-0.549,True,AAP16,SASP,stroma(mouse)
Mmp1a,0.05,True,AAP16,SASP,stroma(mouse)
Mmp3,5.021,True,AAP16,SASP,stroma(mouse)
Serpine1,1.417,True,AAP16,SASP,stroma(mouse)
Vegfa,-0.32,True,AAP16,SASP,stroma(mouse)
Igfbp2,0.427,True,AAP16,SASP,stroma(mouse)
Igfbp7,1.203,True,AAP16,SASP,stroma(mouse)
Plau,1.104,True,AAP16,SASP,stroma(mouse)
Csf2,0.173,True,AAP16,SASP,stroma(mouse)
Hgf,-1.147,True,AAP16,SASP,stroma(mouse)
Col1a1,0.006,True,AAP16,matrisome_core,stroma(mouse)
Col1a2,-0.099,True,AAP16,matrisome_core,stroma(mouse)
Col3a1,-0.285,True,AAP16,matrisome_core,stroma(mouse)
Col5a1,0.414,True,AAP16,matrisome_core,stroma(mouse)
Col5a2,0.139,True,AAP16,matrisome_core,stroma(mouse)
Col6a1,-0.225,True,AAP16,matrisome_core,stroma(mouse)
Col6a2,-0.023,True,AAP16,matrisome_core,stroma(mouse)
Col6a3,-1.353,True,AAP16,matrisome_core,stroma(mouse)
Fn1,-0.436,True,AAP16,matrisome_core,stroma(mouse)
Postn,0.698,True,AAP16,matrisome_core,stroma(mouse)
Tnc,2.93,True,AAP16,matrisome_core,stroma(mouse)
Sparc,0.435,True,AAP16,matrisome_core,stroma(mouse)
Thbs1,1.319,True,AAP16,matrisome_core,stroma(mouse)
Thbs2,-0.56,True,AAP16,matrisome_core,stroma(mouse)
Dcn,2.05,True,AAP16,matrisome_core,stroma(mouse)
