gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Prss35,3.398518380203478,1.4849174809652104,-1.9136008992382678,4.933588958765743e-05,0.004471389572102426,9,9
Pkhd1l1,5.323791059374723,2.808792573443207,-2.5149984859315158,5.0897872056428647e-05,0.004582804480061184,9,9
Pcdh19,0.10435568600602263,1.5130189699027339,1.4086632838967112,5.2349613453593814e-05,0.004682910876212393,9,9
Stoml2,6.489840040053573,6.96120987991481,0.4713698398612367,5.37624657561655e-05,0.004747639283698307,9,9
Calml4,4.840553486618272,2.713174327363983,-2.1273791592542888,5.3673807360850415e-05,0.004747639283698307,9,9
Dcbld1,5.357121668524451,4.386700445672863,-0.9704212228515878,5.4188486778363545e-05,0.004754780852603416,9,9
Nbeal2,6.737484855398548,5.566099351103541,-1.1713855042950065,5.479973787353458e-05,0.0047779822085178,9,9
Plgrkt,5.410571954079314,4.616730413954841,-0.7938415401244736,5.756479639333931e-05,0.004987500849777625,9,9
Sema3a,1.5136549928785779,5.113153888719255,3.5994988958406773,5.978084607116858e-05,0.005113875234571964,9,9
Me1,9.195768833189229,7.798935258479708,-1.3968335747095209,6.0409663870980016e-05,0.005113875234571964,9,9
Pgap4,2.8217995030101597,1.6742175031802315,-1.1475819998299281,6.050067157419489e-05,0.005113875234571964,9,9
Tm7sf2,5.697592146191685,3.894587230079324,-1.8030049161123607,6.0508250815565485e-05,0.005113875234571964,9,9
Prdx1,9.86569657039368,9.349637519149809,-0.5160590512438716,6.105218223398644e-05,0.005128383307654862,9,9
Wsb1,5.376436600889927,6.142249774335104,0.765813173445177,6.29207586054372e-05,0.005253311336657593,9,9
S100a13,6.878585837133994,5.655456724357905,-1.223129112776089,6.352848547349122e-05,0.005272098890860331,9,9
Nans,6.536487063795531,6.823083400331243,0.2865963365357125,6.540373368952943e-05,0.005340049390967287,9,9
AI987944,3.597976039976446,3.1180492831183226,-0.4799267568581236,6.480047254804315e-05,0.005340049390967287,9,9
Tmprss2,7.298220542426582,4.7596360133468885,-2.538584529079693,6.589782204300514e-05,0.005340049390967287,9,9
Idi1,6.258183833618675,4.293429506927782,-1.9647543266908931,6.579283300402525e-05,0.005340049390967287,9,9
Srebf2,9.119954363122131,8.386947421040503,-0.7330069420816283,6.640046579840962e-05,0.005349314718356087,9,9
Reep5,7.417777180628889,7.185569223052771,-0.23220795757611778,6.723454158606799e-05,0.005385017702846933,9,9
Anks4b,4.746898901915676,2.7480834420055222,-1.998815459910154,6.789257405035389e-05,0.005406289596055926,9,9
Rnasel,3.7839702875752588,1.9542923125417042,-1.8296779750335546,6.920867270241067e-05,0.005426862150201112,9,9
Gak,7.077157407676584,6.615639587095846,-0.4615178205807373,6.933273362626276e-05,0.005426862150201112,9,9
Afap1l2,0.47311108268584934,2.1442534066603187,1.6711423239744694,6.86955049400546e-05,0.005426862150201112,9,9
Hmgcs1,7.923216548575768,6.046224459437935,-1.8769920891378327,7.060085162722323e-05,0.005464029955149591,9,9
Cdt1,6.710418819031894,7.7320514458301615,1.0216326267982678,7.056280276228519e-05,0.005464029955149591,9,9
Ccdc174,4.275023901860385,4.736930587366134,0.461906685505749,7.12993742161224e-05,0.005487263570956995,9,9
Shmt2,7.887506481814583,8.458067935661738,0.5705614538471551,7.384250358555905e-05,0.005651412941081452,9,9
Marveld3,3.1120942364642143,1.147909350219931,-1.9641848862442834,7.450053412119041e-05,0.005670272696428282,9,9
Foxp4,6.854402543004056,7.261524640651881,0.40712209764782514,7.834572135681893e-05,0.005771607793644586,9,9
A730020M07Rik,1.8078368705437267,1.0184432724576613,-0.7893935980860654,7.715920762449409e-05,0.005771607793644586,9,9
Myo6,6.875424373054988,5.322611896768943,-1.5528124762860456,7.816440620306e-05,0.005771607793644586,9,9
