gene,GSM8332065,GSM8332066,GSM8332067,GSM8332068,GSM8332069,GSM8332070,GSM8332071,GSM8332072,GSM8332073,GSM8332074,GSM8332075,GSM8332076
RHOV,19.514142664815843,18.093748703411325,17.531713295993566,21.51941291068765,24.152961142057396,20.31379840220245,2.820624997612752,2.5234536222512345,1.9734610158623807,2.1619963205770802,1.9435154260752674,1.8524841519980797
RHPN1,40.895667402819804,39.50208499257688,44.310923715148576,23.547203742656293,28.26994315490809,24.719889886623825,6.5226953069794895,5.959645788721,7.236023724828729,8.00921364213782,6.200739692716329,4.874958294731789
RHPN1-AS1,4.2949787683326734,4.484442027785135,5.20171713177831,3.6003633139035105,3.6778372648132858,3.1472082031581263,4.465989579553525,3.2751206586664954,4.006723880690288,2.407677720642657,3.054095669546849,2.5837278962078476
RHPN2,116.2445340559604,114.2947789864194,102.10778073490758,130.73043343242747,128.44983880094162,131.03830518603834,437.7845048378126,372.7194690567674,439.36418434972455,281.94397471525645,271.7219662360469,268.8052003715108
RIBC1,1.587274762209901,1.559805922707873,2.1834368207464516,1.779489913768402,1.701685898644953,1.7166590199044325,0.4701041662687921,0.8590480416174414,0.5980184896552669,0.3439539600918082,0.3701934144905271,0.7312437442097683
RIBC2,2.007435728677228,1.754781663046357,1.1559371403951804,1.0345871591676754,0.8782894960748144,0.6866636079617731,2.6443359352619553,2.5234536222512345,2.511677656552121,3.095585640826274,2.128612133320531,3.217472474522981
RIC1,7.5628973964118815,7.994005353877848,7.192497762458899,13.366866096446367,9.222039708785552,11.387171498699402,10.342291657913426,8.912623431780956,9.03007919379453,11.35048068302967,11.56854420282897,11.212404077883113
RIC8A,110.03548866260991,107.23665718616627,105.31871723600531,125.72303158205592,128.17537333341824,115.7600399088889,271.250103937093,279.99597106468485,288.0057046179765,286.9067389965811,271.5368695288016,279.77385653465734
RIC8B,6.769260015306931,6.200228542763795,7.770466332656489,10.13895415984322,9.551398269813607,11.902169204670733,17.04127602724371,14.120602184086694,15.309273335174833,16.902880324511717,14.437543165130556,14.673624467142684
RICTOR,21.05473287519604,18.639680776359082,16.183119965532523,27.230334029293218,24.92146445112286,25.578219396576042,18.86292967153528,16.321912790731385,17.7013472937959,18.622650124970757,19.897896028865834,17.403601112192487
RIDA,22.12847756727921,19.302598293509927,16.889525995774022,13.946234905580264,15.53474546182328,16.708814460403143,9.167031242241444,10.523338509813657,8.432060704139262,12.038388603213287,11.799915086885552,11.748649490303611
RIF1,34.639937457639604,35.953526518416474,28.769991049835596,42.376690039507984,33.75925250537568,36.450393189304116,111.70850250962171,90.4684968828368,97.41721196484296,97.48637954602106,99.44320596751784,96.32917590390015
RIGI,25.069604332550494,23.67005487709197,23.118742807903605,44.98384968061053,43.14597149467526,45.54868599479761,38.66606767560815,33.0733496022715,34.087053910350214,32.33167224862997,34.15034248675113,32.95471807238689
RILP,37.34764146376238,37.31835670078586,42.320143084467986,28.47183862029443,28.105263874394062,24.491002017303234,19.50932290015487,27.328465823954854,24.578559924831467,17.689060804721564,17.352816304243458,18.67109026882275
RILPL1,9.523648573259406,8.422951982622514,8.348434902854079,10.801089941710531,10.42968776588842,11.444393466029549,13.515494780227773,13.207863639868162,12.917199376553764,12.23493372326575,12.864221153545817,13.064888229881193
RILPL2,22.96879950021386,24.29397724617512,22.540774237706014,21.2297285061207,21.957237401870362,22.545455128078213,21.21345050287924,21.744653553441484,20.751241591037758,18.180423604852717,21.795137278129783,21.93731232629305
RIMBP3,0.6068991737861387,1.0528689978278143,0.8990622203073624,1.3242715637346245,1.5370066181309254,1.544993117913989,2.820624997612752,3.0066681456610453,2.8106869013797544,2.2111326005901955,2.221160486943163,2.5837278962078476
RIMBP3B,0.37347641463762377,0.35095633260927145,0.5137498401756356,0.28968440456694916,0.2744654675233795,0.40055377131103426,0.7639192701867871,0.8053575390163513,0.8372258855173736,0.7861804802098473,0.46274176811315887,0.7312437442097683
RIMKLA,0.7002682774455445,0.3899514806769683,0.2568749200878178,0.6621357818673123,0.6038240285514349,0.40055377131103426,29.675325495717495,30.12037195921154,28.884293050349388,10.613436482832938,10.041496368055547,10.871156997251889
RIMKLB,12.978305408657427,12.90739401040765,12.651089814325028,16.76031197851634,16.522821144907446,15.163821342489154,7.639192701867871,7.946194384961333,7.176221875863202,8.697121562321435,8.32935182603686,8.482427432833312
RIMOC1,15.07911024099406,14.584185377318613,13.614370764654346,22.554000069855324,20.694696251262815,23.861560376671612,38.78359371717534,33.18073060747368,33.608639118625995,35.23071276940378,39.79579205773167,38.26842261364454
RIMS2,0.0,0.0,0.1284374600439089,0.12415045910012106,0.0548930935046759,0.0,1.2927864572391783,0.9664290468196216,0.7176221875863202,3.4886758809311975,3.4242890840373756,2.3887295644185764
RIMS3,1.72732841769901,1.949757403384841,2.247655550768406,2.3174752365355933,1.8663651791589808,1.7166590199044325,4.054648434068331,3.3288111612675855,5.740977500690562,5.5523996414820465,5.090159449244747,5.31370454125765
RIMS4,0.0,0.0,0.19265619006586338,0.0,0.0548930935046759,0.05722196733014775,8.755690096756252,8.429408908371144,8.551664402070315,5.94548988158697,4.905062741999484,4.777459128837153
RIN1,21.661632048982177,22.500200435061068,24.403117408342695,21.064194560653874,20.85937553177684,19.970466598221563,19.920664045640063,22.711082600261108,22.066882268279347,29.825721967961083,27.34803849548769,27.641013531129243
RIN2,31.465387933219798,30.884157269615887,30.50389676042837,50.1154019900822,48.47060156462882,51.671436499123416,29.3815103917995,28.45596637857775,28.226472711728597,28.892132647711886,31.4664402316948,29.54224726607464
RIN3,46.63786727787327,47.37910490225164,50.34748433721229,71.13821306436937,67.79297047827474,61.685280781899266,24.85675779146238,23.194297123670918,25.65499320621095,21.079464125626533,19.71279932162057,17.501100278087122
RING1,46.17102175957624,46.20925046022074,45.08154847541203,59.84052128625835,62.74280587584456,63.11582996515297,38.78359371717534,46.92549927335274,44.85138672414501,44.17351573179079,38.87030852150534,42.36338758121924
RINL,18.34702886907327,18.990637108968354,19.972025036827837,12.08397801907845,12.241159851542728,10.471620021417039,0.23505208313439604,0.3221430156065405,0.17940554689658006,0.7861804802098473,0.5552901217357907,0.7799933271570861
RINT1,7.422843740922772,7.565058725133184,6.6787479222832635,10.26310461894334,9.222039708785552,8.812182968842754,22.741289043252813,19.489652444195702,23.382522945520932,21.914780885849492,20.175541089733727,21.547315662714507
