gene,PANC-1,Panc02.03
AJUBA,-0.14287677675430466,0.7461857824420628
AK1,-0.10091131244469764,0.02102369459316522
AK2,0.11711656377737523,0.03237997795993852
AK3,-0.1748014894447545,0.15594325966975298
AK4,0.7234657443839092,0.24160480526267136
AK4P1,-0.07341151935218415,0.23229805680834215
AK5,0.38724537384880353,0.39403319376402113
AK6,0.24160515705833774,0.176043793751802
AK7,-0.12728755686215293,-0.37838648035237576
AK8,-0.021858721492463123,0.44320855726643904
AK9,0.4168148911322025,0.07224412122981216
AKAP1,-0.16334759112294162,-0.08217967403077342
AKAP1-DT,-0.029005812930045005,-0.4649955158062089
AKAP10,-0.066816741732028,0.12260743490718617
AKAP11,0.3123820235846386,0.7012774085898306
AKAP12,-0.5449643462748881,1.830811281295075
AKAP13,0.03050836925327438,0.04329858738623038
AKAP17A,-0.13130203461392576,0.0487629937029741
AKAP3,-0.03978104431872198,0.021161221808579267
AKAP5,-0.417092734037657,-0.23515534343629407
AKAP6,0.12392322205199047,0.4820462251198554
AKAP7,0.2559060106617772,0.4981737669096915
AKAP8,0.019842085044354363,0.059495163949991436
AKAP8L,-0.2782829574445387,0.22333629993939752
AKAP9,-0.02120309107381413,-0.3282258646022722
AKIP1,0.06481360429431948,0.15558107333554716
AKIRIN1,-0.18331054259589763,-0.1892461562331711
AKIRIN2,0.4450240093723705,0.5881209248477752
AKNA,-0.018556889245580077,0.2718738296888592
AKR1A1,-0.028675835817892015,0.18810867574701273
AKR1B1,-0.7584295836406287,0.14789857099590176
AKR1B10,0.021753653426295746,-0.5538548106289982
AKR1C1,0.0,2.2099774377510526
AKR1C2,0.0,-0.16320754697565887
AKR1C3,-0.13291592616084671,-0.29943566261177557
AKR1E2,-0.38583874318464595,-0.1293222111785326
AKR7A2,-0.12678615923604575,0.0026276934062909874
AKR7A3,-0.19526677546293092,0.12480762320544225
AKT1,-0.010791821274492186,0.23953478793283534
AKT1S1,-0.004126761092263287,-0.04093428561383927
AKT2,-0.10545397759237929,0.2432567069286522
AKT3,0.6981699998965616,0.48093037863321
AKTIP,0.02482403321518678,-0.501711830439886
ALAD,-0.07023523480074134,-0.1306257821554313
ALAS1,-0.06875136021395534,0.3056484268982729
ALCAM,-0.3307075485287756,0.8648731620638852
ALDH16A1,0.3909766681935576,-0.1303465985925687
ALDH18A1,-0.39752953868805196,0.16442194714831082
ALDH1A1,0.6737701585698962,-2.622889110759636
ALDH1A3,-1.1267078242892712,0.3852369239072715
ALDH1A3-AS1,-0.17889730940535165,0.35510468101030246
ALDH1B1,-0.057418700064811645,0.31695103023012283
ALDH1L1,0.24657675063893064,-0.05966414947752918
ALDH1L2,0.02384991708440909,0.9869325456859035
ALDH2,-1.0022067601459113,0.10093849224632079
ALDH3A1,-0.027459904029403112,2.4171786801293997
ALDH3A2,0.1406677518798629,1.1804605821021132
ALDH3B1,0.3776489459805017,-0.062034455879103945
ALDH3B2,-0.03257573227319623,0.5200493824419752
ALDH4A1,0.2950701661366928,-0.019774794205695834
ALDH5A1,-1.3928027018851314,-0.17720555985499065
ALDH6A1,0.3084720470741871,0.15516105565329852
ALDH7A1,-0.24499214618996223,-0.09621041065402025
ALDH9A1,0.1275288618519923,-0.11736404559052627
ALDOA,-0.14461146595630314,0.580993952370439
ALDOAP2,0.15465380212970048,-0.2281596348315793
ALDOC,-1.105456556278746,-0.30022233350729627
ALG1,-0.031718351984026505,-0.17660014378358468
ALG10,0.6158874895444493,-0.02042207063907364
ALG10B,0.7696446781109558,0.13692601779050495
ALG11,0.338599856458742,0.5247802566674284
ALG12,-0.08027138712315374,0.08288870548258798
ALG13,-0.04271635357357262,0.10882302018574208
ALG14,-0.15348515669842966,0.0483544551835875
ALG1L1P,0.0468888057155194,-0.4907497466728439
ALG1L2,0.025469906183799157,-0.09117893750986106
ALG1L6P,0.2837305901975091,0.24225831799746267
ALG1L9P,0.2143612368008343,-0.17091584798664206
ALG2,0.12904932708239159,-0.1870091199644328
ALG3,0.08104598273845731,-0.03672575442375159
ALG5,0.1905981198224227,0.24059299315933647
ALG6,0.3819786476135718,0.2333956784875304
ALG8,0.1174973564817785,-0.26270579822945983
ALG9,-0.06842706343538074,-0.2346443864155079
ALKBH1,0.41269780371291986,0.05591356865740682
ALKBH2,-0.08037019747692842,-0.19390465193451778
ALKBH3,-0.18560116933660975,-0.12842606066230022
