gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
NFAT5,5.247643083784919,5.762882478221793,0.5152393944368745,0.0023362035882147753,0.1566814510943084,6,6
MB21D2,3.71830690408022,4.411929919044549,0.6936230149643285,0.0023345910932453004,0.1566814510943084,6,6
LRRIQ3,0.6949245778864989,1.1553787130292503,0.46045413514275146,0.002355307088537605,0.1566814510943084,6,6
TET2,3.410359824735908,3.7702239048405026,0.3598640801045945,0.002327867291507755,0.1566814510943084,6,6
ZFAND6,6.2485802160820745,6.048707126218381,-0.19987308986369356,0.002441511304924935,0.1616810766858662,6,6
FAM89B,1.7777649373670996,1.3764885367450381,-0.4012764006220615,0.0024761011780477507,0.1632330663996794,6,6
KIAA0232,5.154418967575367,5.5926277431815565,0.4382087756061894,0.00249371885256756,0.16365728882209077,6,6
RIC1,3.240089071161767,3.6195959735276495,0.3795069023658826,0.002624332228297351,0.16413291521851167,6,6
ACAP2,6.030691304765753,6.3021901152893856,0.27149881052363245,0.0025822175498055443,0.16413291521851167,6,6
SH3BGRL,6.230203362983939,6.386227693188071,0.15602433020413198,0.002578891623549966,0.16413291521851167,6,6
PPM1B,4.704062758192717,4.3368678446384585,-0.3671949135542585,0.0026184773151744635,0.16413291521851167,6,6
RGN,1.9403724560665578,1.2823317510660572,-0.6580407050005006,0.0026111569001559926,0.16413291521851167,6,6
SPATA24,2.0883183763740414,2.5270914068758743,0.4387730305018329,0.0025446877268951056,0.16413291521851167,6,6
ATG4B,6.410227654665772,6.261353026310413,-0.14887462835535903,0.0026085036558249814,0.16413291521851167,6,6
CUL9,4.507961420015401,5.055165841006247,0.5472044209908464,0.002559353803493938,0.16413291521851167,6,6
MYH15,2.357118702136732,3.3888593817931896,1.0317406796564574,0.0026017404009561333,0.16413291521851167,6,6
AGR2,7.735297712543384,6.94115065511355,-0.7941470574298348,0.0025199973854317693,0.16413291521851167,6,6
ULK1,6.579326330649398,6.82093223634551,0.24160590569611262,0.0025760112696563676,0.16413291521851167,6,6
CPT1C,0.445710567381248,0.9601496042439411,0.5144390368626932,0.002697215941128669,0.167973426801779,6,6
PLAA,4.371291082516841,4.688701902456618,0.31741081993977716,0.002759418884834271,0.17039702691793063,6,6
