,H358_RMC-Resistant_Control_3,H358_RMC-Resistant_Control_2,H358_RMC-Resistant_MUC1_Silencing_1,H358_RMC-Resistant_MUC1_Silencing_2,H358_RMC-Resistant_Control_1,H358_RMC-Resistant_MUC1_Silencing_3
TMEM125,0.060901782,0.011813157,0.024268737,0.01888349,0.015260396,0.050017582
TMEM126A,22.91321787,22.84477413,30.82733482,28.82394902,20.10842878,27.6575623
TMEM126B,14.14059418,13.2647949,19.83112991,19.0448215,12.0586806,18.34375051
TMEM127,7.100304096,6.579986385,9.464229566,9.094738772,6.398903368,8.531143761
TMEM128,7.348600388,7.114704114,6.497471226,6.407805069,6.505185712,6.066632637
TMEM129,5.854187623,5.892516533,6.111358277,7.605942154,5.587725806,6.548899593
TMEM130,1.405459963,1.42068823,0.447107904,0.468088069,1.357765073,0.525331064
TMEM131,14.71354864,13.92619841,23.48784634,20.98416044,13.1916639,20.31560804
TMEM131L,4.305867019,4.266211685,5.79046667,5.58297078,4.191802265,5.438558172
TMEM132A,2.915459327,2.917093054,2.600796218,3.031038935,3.526403784,2.910645181
TMEM132B,0.000639808,0.0,0.002378743,0.005560363,0.000748008,0.004291908
TMEM132C,0.0,0.0,0.0,0.0,0.0,0.0
TMEM132D,0.0,0.0,0.0,0.0,0.0,0.0
TMEM132D-AS1,0.027428275,0.024916276,0.485645944,0.443675137,0.0,0.341342057
TMEM132D-AS2,0.0,0.0,0.0,0.0,0.0,0.0
TMEM132E,0.0,0.0,0.0,0.0,0.0,0.0
TMEM134,3.647183543,3.592041972,3.462703861,4.562588551,4.148061536,4.032209582
TMEM135,2.501346845,2.524685194,2.132807341,2.215080438,2.555844243,2.167272834
TMEM136,1.617117577,1.704572314,1.457012892,1.434141153,1.811270457,1.322580099
TMEM138,23.42215932,21.74295837,33.97791745,33.45131488,20.28080938,29.62090985
TMEM139,1.986493051,1.705265233,1.867004101,2.021962593,1.800938476,2.099467501
TMEM140,0.027443532,0.039034513,0.043742044,0.038296233,0.013752948,0.048835102
TMEM141,10.162235,10.04118447,12.44891985,15.66585832,11.9024807,14.25556929
TMEM143,0.984213995,1.092038811,0.779038218,0.668211904,0.890716056,0.648188903
TMEM144,0.595998959,0.65090935,0.734493528,0.552938505,0.600733712,0.525158985
TMEM145,0.892561338,0.568111126,0.6829682,0.872705344,0.674074742,0.783941992
TMEM147,23.6117651,24.74114197,27.94591265,32.02265211,25.68571499,28.41104746
TMEM147-AS1,3.22621667,2.597247077,3.500811894,3.725122001,3.203487328,3.344188943
TMEM14A,16.35711223,13.59429614,9.4848239,9.916831679,12.93431002,9.280576486
TMEM14B,30.76057216,29.9557752,32.81930212,34.69971486,29.10090787,30.91763273
TMEM14C,43.1747379,42.54526814,46.5975836,45.7803621,40.94212869,43.62843559
TMEM14EP,0.0,0.0,0.0,0.007491952,0.0,0.0
TMEM150A,3.144570414,3.194135351,5.231923595,5.355005794,3.068695358,4.781764083
TMEM150B,0.0,0.009084802,0.0,0.0,0.011729206,0.0
TMEM150C,0.191415873,0.175091274,0.104443691,0.108448253,0.226236587,0.093705695
TMEM151A,0.003087969,0.019562737,0.005741743,0.0,0.057770507,0.020712472
TMEM151B,0.009580491,0.0,0.004452826,0.001734145,0.001866874,0.0
TMEM154,0.061443473,0.126172496,0.239463401,0.189885408,0.046972933,0.194748478
TMEM155,0.0,0.0,0.0,0.0,0.0,0.0
TMEM156,0.707646593,0.663422128,5.08358377,6.468451977,0.783147616,6.062041405
TMEM158,22.68704227,21.8261847,37.2306171,39.3980039,21.06127873,36.3198977
TMEM159,0.6378555,0.690917037,0.627727504,0.673984801,0.599048115,0.575431268
TMEM160,4.352474549,4.468358395,3.715038179,5.343998089,4.445700107,5.173413655
TMEM161A,2.656933895,2.788289222,2.177371345,2.907687639,2.864664583,2.593224383
TMEM161B,4.741781266,4.405178321,5.417995781,5.010384324,4.178102436,4.336808382
TMEM161B-AS1,3.976380628,4.192962338,4.517144402,4.770201843,4.547231932,4.135247602
TMEM163,0.103619948,0.175867356,0.108389818,0.135879625,0.131264502,0.111695566
TMEM164,2.513842678,2.362001017,3.081682199,2.857367617,2.605733251,2.784045256
TMEM165,11.99694871,12.0182317,15.77082134,18.61180412,13.02813285,16.84981229
TMEM167A,23.33505305,22.87656124,36.02270863,36.99232131,23.27851654,34.28016205
TMEM167B,5.859424348,5.760314985,7.389029168,7.562302531,5.924159101,6.966485076
