gene,mean_DOXminus,mean_DOXplus_MUC1kd,log2FC,p_value,padj,n_DOXminus,n_DOXplus_MUC1kd
TUBA1A,4.996298959480395,3.878195611244015,-1.1181033482363802,1.8735990527406685e-05,0.0036791720475664452,3,3
SMURF2,4.464735868529872,5.5169977385541555,1.0522618700242834,1.8715082811155302e-05,0.0036791720475664452,3,3
SNHG17,4.051649226742585,4.400363208668259,0.34871398192567415,1.8602942786263062e-05,0.0036791720475664452,3,3
DTWD1,1.756128632517899,2.375671238697317,0.619542606179418,1.8298092439971883e-05,0.0036791720475664452,3,3
SPOCD1,0.307146056577543,0.7333949918736039,0.4262489352960609,1.862046580243156e-05,0.0036791720475664452,3,3
GATAD2A,4.091224998947222,5.01806007273083,0.9268350737836082,1.7506372098657863e-05,0.0036791720475664452,3,3
PUS3,2.7019367165997945,3.5736191039556946,0.8716823873559001,1.753448549894553e-05,0.0036791720475664452,3,3
SLC29A4,1.2495467457060514,0.40482550374850557,-0.8447212419575458,2.030873049495934e-05,0.003689596320732676,3,3
XIRP1,0.14727549363573425,0.7262704877493836,0.5789949941136494,2.078712197905585e-05,0.003689596320732676,3,3
NDST1,3.3412684826974437,4.090070808413324,0.74880232571588,2.1370054067078424e-05,0.003689596320732676,3,3
PCBP3,2.151120335222163,1.4563646153864862,-0.6947557198356769,2.0250659515721465e-05,0.003689596320732676,3,3
IFIT2,1.6483666549571876,0.7572388023260249,-0.8911278526311627,2.0527308936100655e-05,0.003689596320732676,3,3
NUCB2,3.5273240393359093,2.627394518253485,-0.8999295210824245,2.1228211233182354e-05,0.003689596320732676,3,3
PRDM8,0.9882609089122599,1.5713769431895994,0.5831160342773395,2.025028523098341e-05,0.003689596320732676,3,3
CEP104,2.4270426365414792,2.934420510883872,0.5073778743423927,2.010611066629841e-05,0.003689596320732676,3,3
PHLDB2,2.6815905817882926,3.8049755844653106,1.123385002677018,2.0157821771329607e-05,0.003689596320732676,3,3
CMTR2,1.9765435885741471,2.675387061256501,0.6988434726823538,1.96157030276916e-05,0.003689596320732676,3,3
DOCK9,1.8673046108938163,2.9848103204489966,1.1175057095551804,2.1293233820734328e-05,0.003689596320732676,3,3
CCNG2,2.216949940965988,0.9468924591794542,-1.2700574817865338,2.124912038000811e-05,0.003689596320732676,3,3
LINC02407,0.5860007331362299,1.6343364818916226,1.0483357487553926,1.9617334240988963e-05,0.003689596320732676,3,3
TCHP,2.139695481742959,2.627370577270167,0.4876750955272082,2.0369275717595962e-05,0.003689596320732676,3,3
COL6A1,4.410482261972611,3.718658943692651,-0.6918233182799596,2.0610991342997086e-05,0.003689596320732676,3,3
KCTD5,3.5545065728497653,4.340399501014379,0.7858929281646136,2.0294777862884523e-05,0.003689596320732676,3,3
ARHGEF2,4.967692370175976,5.699786803881064,0.7320944337050888,2.139063990396569e-05,0.003689596320732676,3,3
ITGB4,1.4030457468606972,2.461066120143084,1.058020373282387,2.0250436415384368e-05,0.003689596320732676,3,3
RAB29,2.4211549872046443,2.890781015484363,0.4696260282797189,2.2145638956613763e-05,0.003725805123465158,3,3
CABLES1,1.0682968131157187,1.7650244385438956,0.6967276254281769,2.2389443927542728e-05,0.003725805123465158,3,3
CDKN2C,2.9864009352330716,2.1062217743742715,-0.8801791608588001,2.1927537965266943e-05,0.003725805123465158,3,3
PRSS33,0.9341958575295352,0.10921694372374463,-0.8249789138057906,2.24762609297099e-05,0.003725805123465158,3,3
BNIP3,5.0157657407890675,4.157173726478583,-0.8585920143104842,2.2340710107425253e-05,0.003725805123465158,3,3
NKX3-1,2.022237561101272,3.4185212863548453,1.3962837252535731,2.1989693199014597e-05,0.003725805123465158,3,3
AGT,2.0652449203871672,1.065617467325773,-0.9996274530613942,2.2672545921021726e-05,0.0037340951759473715,3,3
KIF21B,0.6235692018299539,1.0066388083713438,0.3830696065413899,2.3195228378252393e-05,0.0037715145862422103,3,3
PTPRF,4.229380606586515,4.84296114339677,0.6135805368102547,2.309223597282437e-05,0.0037715145862422103,3,3
ZBTB18,2.3758876280439516,3.0763267537609433,0.7004391257169917,2.359078805243164e-05,0.00377276902107473,3,3
