gene,otx_log2FC,reversed
RHCG,-0.7894944080703787,0
TRIB1,-1.1056701191350422,0
DISC1,-0.9248491404403602,0
AFAP1L1,-0.4074882664411028,0
POLR3GL,0.2394118751772254,1
PPARGC1A,-0.6672516793776264,0
PDGFRB,-1.241487696717197,0
FOXL2,-0.6191513293643931,0
ACSS3,0.0,0
GLIPR1,-2.972146048451507,0
ITPR3,-1.1380333472784425,0
SERPINB9P1,0.366684153246573,1
ZNF365,-0.9265708980680305,0
DEPTOR,-1.2065491993928905,0
SETBP1,-0.012365779187022863,0
AIM1,-0.821835395303177,0
ARPIN,-0.6868737137394447,0
NABP1,0.6301582528918166,1
WDFY2,-0.3005422424820665,0
FOXD1,0.13622947903260396,1
MB,-3.5591214488041327,0
IL17RE,-0.9521489849248423,0
GTF3C6,-1.5429035302556624,0
TNFRSF19,0.2776367715400987,1
MME,-2.2707949948338246,0
C16orf52,-0.6878410307501373,0
B3GALT5,0.3334802271471206,1
CCDC152,-1.0008051901121542,0
