gene,otx_log2FC,reversed
TMOD1,-1.1495827634516669,1
DOCK8,0.20638888109230624,0
IFI30,-0.7098651618345766,1
PSMB8,-1.5190357623246804,1
MCF2L,-0.9842724942670218,1
CLIC3,-1.5386446900914361,1
ECEL1,-1.115266340537766,1
FLJ36777,0.5513784768275769,0
MED13L,-1.2807954478636923,1
LINC00622,1.804788555386823,0
RAB20,-1.1579616365056253,1
EGLN3,0.021418149687768562,0
ERBB4,-0.17924621077261538,1
SCML1,0.12187113050101672,0
C10orf107,-1.1015612050105723,1
ROPN1L,1.2427155158409615,0
SRGAP3,-0.8073333642643759,1
YJEFN3,-0.7186096700132634,1
COBLL1,-1.1265923024574498,1
TLR3,-3.7427839334032953,1
ALOX15,-1.7114551967821114,1
CLIP3,-0.5093935754940002,1
HPCAL4,0.39810451685162107,0
CCL22,-2.5289386561405665,1
GBP4,-2.419892698872543,1
GP1BB,-0.2154767229948895,1
FMO5,-0.6563532852992604,1
TRIM36,0.8492079876954373,0
RAB40B,-0.8059918172253058,1
TTC9,-0.4487158485633227,1
LOC100507412,-1.8437035635966295,1
SLC40A1,0.6726940724888086,0
PDE8B,-1.2365076840135587,1
HTR1B,-2.319882379082669,1
TMEM191A,-2.080161226620007,1
PSAPL1,-0.8620984173090285,1
FOXN3-AS1,-2.321835802261702,1
CRABP2,-1.5633269967559258,1
ZNF521,-0.6602679896052805,1
FCGBP,-0.2761243934694395,1
RBFOX3,-2.6984628067411314,1
LZTS1,-0.7050268560328732,1
NXPH3,-3.505683642846639,1
RCAN1,-1.4499724386815025,1
FAT3,-0.966270362405786,1
WT1-AS,-1.7929927915346227,1
CCSER1,-1.0233925923046603,1
LDHD,-0.27489303379144836,1
FOXP2,-1.5397315441700021,1
LY6H,-1.6274808859350274,1
LOC101927497,-1.0549994135341638,1
FAM189A2,-0.557724202701626,1
THPO,-1.9606927163169037,1
C15orf65,-0.4938989961793858,1
CDKL2,-1.1051280466364295,1
CHST1,-0.5762861141690561,1
TRABD2B,-1.3911142639540524,1
EDN2,-1.2072800099761476,1
C9orf135,-0.6519359693763422,1
EPHX2,0.03681406697842249,0
ARHGEF4,-0.6943037380221488,1
RORC,-1.8358291301689438,1
TNFAIP8L3,-1.1843578408433135,1
CNTN1,-0.43063580218312225,1
MFAP3L,-0.2876249291325692,1
PSMG3-AS1,-0.7831463657381121,1
AK4,-1.7862892512494248,1
SEC14L4,-0.7613742466115463,1
GAS1,-1.7637316690516847,1
LOC101593348,-1.5644785612328165,1
HHAT,-1.0397456023492717,1
CA4,-1.181075874837255,1
PAIP2B,0.3646523926052119,0
HS3ST3B1,-1.107009193159528,1
MPZL3,-1.7505473876957174,1
S100P,-1.9473151868335496,1
KSR2,-1.8821635598123105,1
DHRS2,0.09689506842801965,0
DPYSL5,-1.8355967095524646,1
LGALSL,-1.0317378812795024,1
ADAM21P1,-1.055477050765523,1
ABAT,-0.6758778166859072,1
RDH5,0.7487287223928725,0
OLR1,-1.8630781464325112,1
COLEC12,-1.636518529696743,1
PADI4,-0.86204774648052,1
PAX9,-0.5971705733131492,1
TMEM27,-0.017588271779043207,1
RBBP7,-0.33406937884112864,1
GXYLT2,0.010715512821508177,0
FGF12,-2.18574175500441,1
KTN1-AS1,-0.7585474508596297,1
GPR155,-0.7336788056244581,1
SCN4B,-4.1429004296451355,1
FGFR2,-0.24091766253954283,1
CX3CR1,0.0734460046006411,0
MX1,-1.8726479761282304,1
LOC645434,-0.9694960389175689,1
IZUMO4,0.307949723968199,0
TNXB,-1.2749302791393586,1
MYO1D,-0.6797411386015817,1
LINC01018,-1.7206004098890397,1
TPD52L1,-1.0896325147666381,1
PLEKHA4,-1.8276791706218152,1
DMBX1,-1.380120168455309,1
SGCZ,-0.3337783593560237,1
VANGL2,-3.1611057460572622,1
IL3RA,-0.9215838928259537,1
NRCAM,-0.10981825131191947,1
CATIP-AS2,-0.4712199409776635,1
DDIT3,-0.5202746080171359,1
LOC729506,0.19488869325887914,0
HAL,0.13772945579150808,0
HTR6,-2.2216530417040494,1
LOC400997,0.8618759721591086,0
TMTC1,-0.6103053899268964,1
SLC12A3,-1.0008649075786091,1
JPH1,-0.7739187915654112,1
KHDC1L,0.3355574882406862,0
RASAL1,-3.2320771493897285,1
SDK2,-1.724807013885595,1
PRODH,-0.3545963538836281,1
KCNA7,-1.5393750135546849,1
DSC1,-0.4922468814277754,1
NLRC5,-0.6864135934473268,1
TMEM255A,-0.45161470664229775,1
ABCB1,1.486373901034204,0
KCNH3,-2.0272438693723513,1
ZDBF2,0.07945280005480981,0
ATP1B2,0.5554910494613061,0
PI3,2.0846711441381354,0
PLCB4,-0.4239009516004488,1
FER1L4,-1.0800241729026805,1
GOLT1A,-1.0571181183812108,1
COL9A3,-1.546824757000289,1
LYPD6,-0.6404618186949884,1
LOC553103,-1.3696047232046733,1
RBP1,-1.6690390010809226,1
DRC1,-1.6771934962155854,1
COL4A4,-1.4902026398784591,1
COBL,-1.3079908590243647,1
AP3B2,-0.5712241284572297,1
PPM1E,0.1957683877750851,0
MAN1C1,-1.5574551554096177,1
GPC3,-0.8198908786531565,1
ZCWPW1,-1.6546681928935767,1
MLC1,-1.5856405203886157,1
SMTNL2,-1.0257825302496468,1
RNF150,-2.0875090028760277,1
HSPB7,-2.941087451461493,1
NXPH2,-0.1380334881654841,1
B3GAT1,-1.854672326943811,1
NOS2,-0.6474694614770224,1
TLR5,0.19400645591397336,0
PELI2,1.4967704064690728,0
POLA1,-0.3926753812457271,1
SMO,-1.2995476817247917,1
GGT6,-0.00020607386212523338,1
HRH2,-2.2530591497089127,1
ADRA2B,-3.2538302127004943,1
ARRDC4,-0.113907675959803,1
APOL3,-2.711213751428712,1
CADM4,-0.5579862500021067,1
MIR99AHG,-2.142182017505945,1
CD83,-0.9988295139724546,1
TMEM63C,-1.5786889014406498,1
MAP1A,0.3365310248731852,0
DRGX,-1.5280973681399361,1
TRIM67,-1.1955497534001225,1
MED15P9,0.8243299098100572,0
PDHA1,-0.6576022396681793,1
XYLT1,-0.1158651000548474,1
LINC01534,0.1705009667487758,0
BTN3A3,-1.4999169895455347,1
ASIC3,-0.8288784946533259,1
CPM,0.3240663936589314,0
KLK4,-0.0006481645347251597,1
ST8SIA2,-2.5442411193171814,1
MYCL,-0.3647358125443265,1
C8orf4,-0.8619877163718576,1
EMID1,-2.2708813849295826,1
LOC100130476,-2.4293039426012486,1
FLT4,-1.643740718520872,1
IDNK,-1.2425053630560674,1
SAMD15,-0.7202668154713514,1
LCN15,-0.861450092072193,1
GSTA4,0.17998914905457042,0
MMD2,-1.4075937213509797,1
