gene,log2FC,p,fdr
SNCA,-1.4683865830303375,0.00010880528156852193,0.012496386896412866
TEAD3,-1.5537535802857247,0.00010997851342475125,0.012496386896412866
DUSP9,-2.4673285217406686,0.00011023000309617137,0.012496386896412866
RASL12,-2.4056182571049964,0.00011026324869839285,0.012496386896412866
FCHO1,-1.3479912073148377,0.0001104496518889749,0.012496386896412866
TMEM51,-1.1600545560775348,0.00011102990646573317,0.012508582015660791
CAPG,-1.7425585527439775,0.00011233562290710571,0.012575259690233058
VWA7,-3.2140860593086864,0.0001130676093594273,0.012575259690233058
CMTM4,-0.7302525519468652,0.0001131436082586072,0.012575259690233058
DHRS3,-2.009063372753504,0.0001135217022083362,0.012575259690233058
TMEM99,-1.0259399415925063,0.00011529194473104129,0.012718142653142993
TMEM120A,-1.717750979885924,0.00011741435616759344,0.012898527300983554
LIF,-2.6869223476903077,0.00011822670838707421,0.012898902776621842
LRFN5,-2.413025296668666,0.0001186063798161428,0.012898902776621842
TEX14,5.342641893401236,0.00011908982314862805,0.012898902776621842
F8,-1.7204810296536301,0.00011936661681859683,0.012898902776621842
NFKB2,-1.5010649141666779,0.0001199373106036706,0.012907887391187721
GRIN2D,-3.27045069025043,0.00012095413294038206,0.01291904885724446
SRXN1,0.8750790233248029,0.00012172472286085502,0.01291904885724446
TP53INP2,-1.050032849555885,0.00012215246316921337,0.01291904885724446
MMP14,-1.5798425738399882,0.00012338346273326232,0.01291904885724446
LINC00673,-1.4005355393359018,0.00012339537681493,0.01291904885724446
MRPL48,0.45989970661464774,0.0001234319432800268,0.01291904885724446
B4GALNT3,-3.264888592678045,0.00012345682194080636,0.01291904885724446
MAP2K6,-1.2744586866326753,0.0001250234317929483,0.013031477782355536
RNF181,-0.6174680701627224,0.00012577378696046538,0.013058278469718906
SDC4,-0.8116545441897873,0.00012674551573154047,0.013104961646732461
TCEA2,-1.3972445046228792,0.00012723158837744686,0.013104961646732461
ROPN1L,1.4731278205989522,0.00012789538717429563,0.013104961646732461
C20orf166-AS1,-2.0037071678301066,0.00012820340194537137,0.013104961646732461
MX2,-0.712675043004003,0.00012953500447760997,0.013190150936710476
STARD10,-1.689622873026015,0.00013189429071165863,0.013378932362418244
TLE1,-1.446710760409081,0.00013244344625162142,0.013383359692792661
MCM5,-1.7181970524764374,0.000134813349211164,0.013447352175768595
MAPKAPK3,-2.214926796252935,0.00013483857194747552,0.013447352175768595
NDUFS4,-0.552725187380295,0.00013561079040242966,0.013447352175768595
FAM204A,-0.8789487470193134,0.000135690807616957,0.013447352175768595
NOTCH3,-1.9576300993871616,0.00013628799190918529,0.013447352175768595
GTF3A,-0.4359284987437917,0.00013652987094690667,0.013447352175768595
BIRC7,-3.256024739737548,0.000136632209075798,0.013447352175768595
ZNF395,-1.463110457948905,0.0001376482390619761,0.013497174552465989
ARHGEF25,-1.0288386630170239,0.0001386064582133346,0.013540981480435548
GATSL3,-2.1333096433541217,0.00013933903312466934,0.01356250331608684
INTS3,-1.1489257590442161,0.00014099992951016257,0.013673894262936095
FAM132A,-3.5670176375002223,0.00014456780295019463,0.013937675972099389
FZD8,-2.3545380327434664,0.00014477283823710412,0.013937675972099389
