gene,log2FC,p,fdr
SH2D5,-1.0016289922354122,0.0002801443423238876,0.05062596674264905
TOR4A,-2.858467998102128,0.0002830605179926689,0.05062596674264905
CREB3L1,-2.4877605598166648,0.0002848937562597755,0.05062596674264905
LGR4,-2.2570136653386026,0.0002858201715766034,0.05062596674264905
NPW,-2.466374005123351,0.000287047829370077,0.05062596674264905
C14orf132,2.686951296264673,0.00028714573861457737,0.05062596674264905
C20orf166-AS1,-3.624236478256311,0.00029013976684358355,0.05062596674264905
ANTXR1,-1.9142662478662764,0.0002916718968144763,0.05062596674264905
ALDH1A1,7.893803049424927,0.00029300754775620554,0.05062596674264905
THY1,-1.5866094814350191,0.00029547109859576394,0.05062596674264905
LOXL1,-4.483115183917868,0.00029584976572034525,0.05062596674264905
ITGA2,-2.6597218303284436,0.0002965397133016916,0.05062596674264905
FFAR4,-5.784238061101186,0.0002983059796733995,0.05062596674264905
KREMEN1,1.9041042233933378,0.00030061169275335473,0.05065096908395863
CD74,1.6662846273363794,0.0003022796266389221,0.05065096908395863
RARRES1,-4.612523879286223,0.0003050277991706005,0.05079000618265187
COL7A1,1.506928939991754,0.00031578482027206853,0.052121841792661286
ZNF711,-4.097124554128178,0.00031696379711495626,0.052121841792661286
CTH,0.6282170200167405,0.00032317426111587336,0.052815052858288566
AFAP1-AS1,-2.6965488798744577,0.00032868203410523194,0.05311035589516735
GABRB1,-6.030504529043921,0.0003317705016519216,0.05311035589516735
CLDN10,-5.599577498307053,0.0003348246037126405,0.05311035589516735
SLC6A3,3.054420301083265,0.0003365817688186915,0.05311035589516735
APBB1,1.0211470271799001,0.0003385008442404223,0.05311035589516735
MLPH,-4.989050456521794,0.0003407013052291731,0.05311035589516735
FAM109B,-3.9992219228860058,0.0003407250176765634,0.05311035589516735
FAM43A,-2.145025791488564,0.00034143231169183165,0.05311035589516735
PRRX1,2.0477442166608704,0.0003430357264617041,0.05311035589516735
TCF24,3.317989670206222,0.0003467035182208194,0.05336613747032671
MMP2,-3.0689229043721635,0.0003534522927371569,0.05376174414486972
TLR6,-2.768467375054418,0.0003542316249001087,0.05376174414486972
MYL9,1.8114407930082912,0.0003553656364627838,0.05376174414486972
HAGLR,2.3624452237522506,0.0003574424168370463,0.05376868173727727
MKRN3,-1.4833274923133732,0.0003828606864454259,0.05690782678723034
DNM1,-1.471468350781688,0.0003846365784485483,0.05690782678723034
KDF1,-5.817388659161207,0.0003901749148792403,0.05690782678723034
CES1,-4.224248068303178,0.0003902603791128947,0.05690782678723034
MT1A,-1.8929623383477585,0.00039092281816310187,0.05690782678723034
CLMN,-2.1446878636032523,0.0003931672164806897,0.05690782678723034
SMPDL3A,-3.048696095813054,0.0003943909825350381,0.05690782678723034
TINCR,1.7964395160296833,0.00039672857931011046,0.05690782678723034
IRF5,2.313922256272872,0.0003976562022903725,0.05690782678723034
ARMCX3,-3.8395181460149574,0.0004043210797341724,0.05754712568234319
TRHDE,-7.552826637961073,0.0004064707271991757,0.05754712568234319
SCARA3,-2.5663172501661524,0.0004198881752385032,0.05883030914332458
ARHGAP31,-0.8701927217232921,0.0004210392958501757,0.05883030914332458
LIN28B,-3.17721983816911,0.00042220051887560607,0.05883030914332458
CCKAR,-6.250897657674927,0.0004322245257212155,0.05991175035847738
LOC101929633,4.3469581350001505,0.00044365334102294324,0.06081195940174032
FAM132A,1.3036691657545232,0.00044390365532259897,0.06081195940174032
DNAJC6,1.8646740881124328,0.0004456098252667657,0.06081195940174032
SLFN11,2.743771111357354,0.00044827912364989647,0.06082387173638096
SREBF1,1.5051392385299796,0.00045029193051296195,0.06082387173638096
LIMS2,2.071194064841878,0.0004554131285538243,0.061059314167987905
SNORA61,-2.514056359842126,0.00045679824988109635,0.061059314167987905
SLC38A11,6.863402140492924,0.00045999569206443407,0.061059314167987905
TAP1,2.069634823165316,0.0004612601636864053,0.061059314167987905
SCARB1,2.0611240539614,0.00046663667362314694,0.06140561998429314
CPA4,-7.303271040011185,0.00046851502310962096,0.06140561998429314
ANO9,1.6789771842995567,0.000482417710409629,0.06277904277868859
IL17RB,-1.4400942165233275,0.00048373653359216136,0.06277904277868859
CNGA4,2.871655650293091,0.00049665063478809,0.06332890760345743
STC2,-2.6386412143679365,0.0005021950231402372,0.06332890760345743
GALNT14,3.320808396206835,0.0005042776241984349,0.06332890760345743
TNC,-3.1820912538287986,0.0005051720360605718,0.06332890760345743
NALCN,-2.5374447347478233,0.000505510359594634,0.06332890760345743
EFNA5,-1.4744711766187901,0.0005058156241635697,0.06332890760345743
ZNF41,-0.743211259979077,0.0005075452855138145,0.06332890760345743
KIT,6.951769415129348,0.0005086581337077941,0.06332890760345743
AGFG2,-1.561380221981734,0.0005124599125563623,0.06332890760345743
PRKCG,-1.7290749120286968,0.00051311105627518,0.06332890760345743
CDK5R2,2.6943991319857634,0.0005165781201858882,0.06332890760345743
AQP7P1,-6.192437018624605,0.0005188368373114343,0.06332890760345743
CHRNA4,3.121951461454679,0.0005190697998092639,0.06332890760345743
KCNK2,6.511040076303236,0.0005268949065092138,0.06398872775152034
TSC22D3,-1.7809573971005914,0.0005334833230937449,0.06449301816852464
AKAP12,-2.9645911590379352,0.0005373516502142897,0.06466538608828781
MATN2,3.0943857112830147,0.0005430014980300508,0.06485955105537232
BMP6,-2.360808549498021,0.0005453949581881494,0.06485955105537232
CRTAC1,5.870228762982428,0.000547902892427827,0.06485955105537232
NAV1,-1.7762489628900706,0.0005504170840489778,0.06485955105537232
