gene,log2FC,p,fdr
ARHGEF19,-1.535149496955344,7.642850053496338e-05,0.007578444013719684
FAM214B,-1.4256488110794443,7.67779095626561e-05,0.00758468341668403
KIF17,-1.9514850863444648,7.744078469279793e-05,0.0076217277871443315
TCAP,-2.430493016632343,7.788535620625483e-05,0.007634995300894078
PDK2,-1.6577218709760668,7.817853366857299e-05,0.007634995300894078
IMPDH2,1.24407643290985,7.866071965557731e-05,0.007634995300894078
EPHA7,-1.0355391359449158,7.929924769000089e-05,0.007634995300894078
DDX60,-2.5561585039192485,7.941130214142404e-05,0.007634995300894078
MARCKS,-2.258110169279277,7.946881821207504e-05,0.007634995300894078
LRRC42,-0.9482735399511704,7.959428528977397e-05,0.007634995300894078
TSPAN18,-2.8012382489820764,7.996982576821472e-05,0.007643325405102833
CASP4,-1.6542596508662673,8.257358042963312e-05,0.00786379691321776
LYPD6B,-0.933434478050188,8.288930897956597e-05,0.007865571524136233
CBS,-2.0088120468527553,8.343534948137157e-05,0.007889110276854686
LIN9,-0.6633479475904096,8.399476026334136e-05,0.00789166661075605
LINGO1,-3.495144360092895,8.405854520238739e-05,0.00789166661075605
LMNB1,-0.7343881764657851,8.44782384886458e-05,0.007903043688999637
CCDC106,-1.656806895423836,8.61923958961025e-05,0.007939548178190092
ZNF704,-1.4217943766731125,8.647916016891544e-05,0.007939548178190092
DLX4,-1.923819556972986,8.659735190851753e-05,0.007939548178190092
PTPRH,-1.5683194092018944,8.664752082975809e-05,0.007939548178190092
SPTAN1,0.5965850446882239,8.69080819585263e-05,0.007939548178190092
KIAA1211,-0.7303333832075065,8.72267467257535e-05,0.007939548178190092
NHLRC3,-1.6080458467832308,8.733012626826614e-05,0.007939548178190092
INAFM1,-0.7996622881985918,8.747935090616467e-05,0.007939548178190092
P2RX2,-3.1017855382625927,8.769132159642774e-05,0.007939548178190092
HOXC10,-1.4182898805444726,8.78673320570235e-05,0.007939548178190092
PLEKHN1,-1.5310950514419028,8.849279101695709e-05,0.007958997649955578
ROBO3,-0.798582741895129,8.868382650564289e-05,0.007958997649955578
TLDC1,-1.4739541026611782,8.989788724153234e-05,0.008040697853782326
LIF,-2.317388187879894,9.083991379969507e-05,0.008072104720733247
KRT80,-3.145837798134842,9.085881800863106e-05,0.008072104720733247
SDK2,-1.724807013885595,9.128648167588908e-05,0.008078493170472881
IFIT3,-2.2129464611982996,9.154099909884285e-05,0.008078493170472881
DBNDD2,-2.358430353934489,9.359146508810021e-05,0.008232006771453334
PKP3,-3.168264611352811,9.410620665284553e-05,0.008246954263020575
C11orf45,-1.1478705518924244,9.511529746912106e-05,0.008246954263020575
NSMCE1,-1.1746617847286824,9.516575685809547e-05,0.008246954263020575
LAMB1,-1.379998047668808,9.538658343010127e-05,0.008246954263020575
WDR76,-0.9648408564519464,9.595089605227483e-05,0.008246954263020575
E2F2,-2.351943278314354,9.609557607927037e-05,0.008246954263020575
SYNPO,-1.631309157087216,9.637362242421064e-05,0.008246954263020575
IRF2BPL,-1.6822476647407196,9.685237829870314e-05,0.008246954263020575
