gene,spearman_rho,p_nominal,detection_frac,p_fdr_bh
Satb1,-0.1438151161921803,0.16440155740470658,0.389,0.5997226764469039
Gxylt1,-0.1438117745122956,0.1644114657875988,0.611,0.5997226764469039
Iws1,-0.1438117745122956,0.1644114657875988,0.611,0.5997226764469039
Tfam,-0.14378420927200947,0.16449321609635204,0.632,0.5997226764469039
Atp5g2,-0.14373906383638377,0.16462716908613603,0.947,0.5997226764469039
Gipc1,-0.14371925503042957,0.16468597015920097,0.653,0.5997226764469039
Camk4,-0.14371404671021662,0.1647014332810596,0.168,0.5997226764469039
Wrn,-0.14369934607409857,0.1647450841967802,0.579,0.5997226764469039
Stimate,-0.14369633259015047,0.1647540332579208,0.611,0.5997226764469039
Ttc8,-0.14369385258548326,0.16476139833028966,0.442,0.5997226764469039
Abl1,-0.14367041597982383,0.1648310119748451,0.737,0.5997226764469039
Stambpl1,-0.1436353200386837,0.16493529802635654,0.347,0.5997226764469039
Mta2,-0.14361417084862715,0.16499816550998883,0.663,0.5997226764469039
Klhl6,-0.14358707952126404,0.16507872234668514,0.221,0.5997226764469039
Rpl36a,-0.14357703776655456,0.1651085891889206,0.968,0.5997226764469039
Zbed3,-0.14357046677081592,0.16512813523911868,0.568,0.5997226764469039
Atp9b,-0.1435658911792261,0.1651417467823205,0.789,0.5997226764469039
Tmx2,-0.14353718255263553,0.1652271686254983,0.421,0.5997226764469039
Isg20,-0.14351774507242085,0.1652850229623113,0.411,0.599751366185697
Ppm1m,-0.14338557041184838,0.1656788296651797,0.463,0.5997913025820032
Lrrc40,-0.14338111860555017,0.16569210564131617,0.326,0.5997913025820032
Suv39h2,-0.1433418209737498,0.16580933142170584,0.137,0.5997913025820032
Ccdc88a,-0.14334063907107222,0.1658128580163126,0.747,0.5997913025820032
Shc1,-0.1433269881298929,0.16585359410354591,0.811,0.5997913025820032
Evi5,-0.14331947136655765,0.16587602821134612,0.747,0.5997913025820032
Entr1,-0.143315444521251,0.16588804743038285,0.516,0.5997913025820032
Tubb6,-0.14325687820238228,0.16606292745164686,0.684,0.6000028299447676
Fmnl2,-0.14324158565656145,0.16610861370393548,0.6,0.6000028299447676
Hsp90b1,-0.14316563236293575,0.16633566083369977,0.937,0.6001355594975749
Vasp,-0.14314450295529652,0.16639886375349344,0.821,0.6001355594975749
Tceal1,-0.1431148047772124,0.1664877278651261,0.211,0.6001355594975749
Pdcd10,-0.1431025158161895,0.16652450966598745,0.779,0.6001355594975749
Uchl1,-0.14306809456488218,0.16662756709858878,0.147,0.6001355594975749
Pola2,-0.1430599749903778,0.16665188402720593,0.295,0.6001355594975749
Atp11c,-0.14305247278160307,0.16667435436901282,0.589,0.6001355594975749
Pdzd8,-0.14304454676537148,0.16669809651732448,0.579,0.6001355594975749
Utp3,-0.142992325520922,0.16685458624247182,0.737,0.6001355594975749
Zcrb1,-0.14298929309543826,0.1668636767502272,0.789,0.6001355594975749
Heatr5a,-0.1429612456042384,0.1669477739764123,0.695,0.6001355594975749
C030034I22Rik,-0.1429450689502826,0.16699629208777564,0.126,0.6001355594975749
Zfp282,-0.14288841357673734,0.16716629889221413,0.379,0.6001355594975749
Garem1,-0.14288559848062699,0.1671747495371049,0.453,0.6001355594975749
Akt3,-0.14287603973619178,0.16720344631530884,0.695,0.6001355594975749
Scaf8,-0.14286374488340223,0.1672403626528603,0.821,0.6001355594975749
Stmn1,-0.14284714197950626,0.16729022383929235,0.516,0.6001355594975749
Hnrnpab,-0.14280914297621652,0.1674043822965712,0.905,0.6002518060251609
Baz2a,-0.1427008639351017,0.1677299952198268,0.716,0.6002518060251609
Calcb,-0.14270044207472693,0.16773126473793581,0.221,0.6002518060251609
Cpox,-0.14269468108494274,0.16774860218180335,0.568,0.6002518060251609
Slfn9,-0.14266309069598884,0.16784369559618137,0.211,0.6002518060251609
Zfta,-0.1426308641146836,0.16794074510626295,0.411,0.6002518060251609
Gm16196,-0.14261402077430607,0.16799148487827117,0.105,0.6002518060251609
Cep63,-0.1426047121134864,0.16801953163984154,0.389,0.6002518060251609
Eif4e3,-0.14259536406521667,0.16804770055534982,0.305,0.6002518060251609
Mtmr3,-0.14255439209954793,0.1681712044652096,0.737,0.6002518060251609
Dnaja2,-0.14248284164483552,0.16838704342252142,0.863,0.6005373573278349
B4galt2,-0.14246618325469446,0.16843732443147882,0.284,0.6005373573278349
Kdsr,-0.14246113823537654,0.168452554300004,0.568,0.6005373573278349
St6galnac4,-0.14242152290103893,0.16857218013098052,0.253,0.6006846262171893
R3hdm1,-0.14240348196203062,0.1686266788641251,0.716,0.6006846262171893
Amer1,-0.14239560365964923,0.16865048201012786,0.316,0.6006846262171893
Mrps33,-0.14235651565992383,0.1687686174069108,0.842,0.600772247021873
Depdc5,-0.14233950430001457,0.16882004979720786,0.495,0.6007772192990737
Cyrib,-0.1421588393318552,0.16936698893176902,0.737,0.6019349366465588
Nsmce4a,-0.1421403507064642,0.16942303443614237,0.684,0.6019349366465588
Mindy3,-0.14213027335799247,0.16945358817240605,0.642,0.6019349366465588
Papss1,-0.14205115134919008,0.1696936212072659,0.758,0.6019452011013252
Peak1,-0.14204835727625495,0.169702102189367,0.863,0.6019452011013252
Marchf5,-0.14202824139116968,0.16976317011717987,0.747,0.6019452011013252
Dhx8,-0.14199961050808327,0.16985011587667942,0.484,0.6019452011013252
Trbc1,-0.1418060810985929,0.17043868394345782,0.158,0.603852840988226
Kank2,-0.1417376533525817,0.1706471480029009,0.789,0.6042748980809404
Pkig,-0.14166076741381792,0.17088160392657611,0.705,0.604402619952807
Zfp820,-0.14165967895123865,0.17088492478648962,0.126,0.604402619952807
Fbxo36,-0.14164182407757045,0.17093940614728317,0.211,0.604402619952807
Atxn7l3b,-0.1415961533644515,0.17107882143287492,0.874,0.6046933791417514
Ist1,-0.1415127458474457,0.1713336489503344,0.695,0.6052418073202631
Gm49336,-0.14151237040901388,0.17133479662543302,0.568,0.6052418073202631
Gclc,-0.14148498252327082,0.17141853373353394,0.411,0.6053595101583946
Lpgat1,-0.14144232262673914,0.17154902429038774,0.789,0.6054213095382449
Mast2,-0.1414133390013913,0.17163772280071504,0.695,0.6054213095382449
Chd3,-0.14136035079181508,0.17179996976939035,0.758,0.6056377677689577
Zfp729b,-0.14132286552995155,0.1719148157437214,0.284,0.6056399262927822
Actr1a,-0.14129562401110846,0.17199831276593808,0.6,0.6056399262927822
Snrpd2,-0.14128088806825634,0.17204349182598994,0.874,0.6056399262927822
Ssu72,-0.14124496474634768,0.17215366606456783,0.832,0.6056399262927822
Tsc22d3,-0.14116431408131358,0.17240120498250164,0.432,0.6057731458465905
Gm26532,-0.14115522543446224,0.17242911693409624,0.326,0.6057731458465905
Rbbp7,-0.14113631695426732,0.17248719702346424,0.842,0.6057731458465905
Actg1,-0.14112541993281075,0.17252067531401735,0.989,0.6057731458465905
Acad11,-0.14111944614003277,0.17253903028176026,0.253,0.6057731458465905
Ccdc163,-0.14110201044876264,0.17259261108835414,0.242,0.6057731458465905
Zfp568,-0.1410746199647208,0.17267680822197967,0.379,0.6057731458465905
Usp14,-0.14106429341008295,0.17270855943545477,0.758,0.6057731458465905
Pmpcb,-0.14103077543384043,0.1728116472571753,0.653,0.6057731458465905
Phrf1,-0.141000117812568,0.17290597740287236,0.579,0.6058015963455758
Llph,-0.14098203895700043,0.1729616218117043,0.842,0.6058197762815442
Rps13,-0.14094542198220122,0.1730743645347049,0.968,0.6060378812972299
Septin2,-0.14090229347985478,0.17320722538813363,0.263,0.6062080951223966
Gpr153,-0.14089686597813106,0.17322395055925235,0.611,0.6062080951223966
Paip2b,-0.14083355668705674,0.17341912964810444,0.411,0.6064572398597669
Bet1,-0.14082462791058553,0.17344666958261343,0.758,0.6064572398597669
Zfp330,-0.14079643196946817,0.17353365830326295,0.758,0.6065847555305032
Hoxb8,-0.1407751911134298,0.17359921071735648,0.147,0.6066372884410067
Cdk10,-0.14065372786860494,0.17397441388328186,0.347,0.6069491365510185
Afap1,-0.1406331357993261,0.17403808235941995,0.737,0.6069491365510185
Gmps,-0.14059560462106388,0.1741541687856491,0.8,0.6069491365510185
Tulp4,-0.14057671667299826,0.17421261197827134,0.863,0.6069491365510185
Sorcs2,-0.1405609473667787,0.17426141648787227,0.221,0.6069491365510185
Alg9,-0.14055817363832634,0.17427000195344508,0.389,0.6069491365510185
Gm15050,-0.14053387694134517,0.174345220311302,0.242,0.6069491365510185
Ifnar1,-0.14053312004355026,0.17434756391852851,0.684,0.6069491365510185
Tmem30a,-0.1405293741039135,0.1743591629337782,0.832,0.6069491365510185
Kbtbd2,-0.14052801737957477,0.17436336406663513,0.589,0.6069491365510185
AU040320,-0.1405174316302269,0.17439614567344164,0.547,0.6069491365510185
Abcb6,-0.14050002143372342,0.17445007085354142,0.116,0.6069608811180736
Stat5a,-0.14046467167041435,0.17455959852810765,0.379,0.6070393371247415
Trip4,-0.14032316308397969,0.17499855438813344,0.632,0.6072971836794515
Mapk7,-0.14029497065932658,0.1750861032627385,0.232,0.6072971836794515
Rictor,-0.14029079588686913,0.1750990703515326,0.611,0.6072971836794515
Ccdc43,-0.1402881299239254,0.17510735135808636,0.358,0.6072971836794515
Exosc8,-0.14028287366195571,0.1751236791863705,0.621,0.6072971836794515
Eral1,-0.14026628233447114,0.1751752251110919,0.337,0.6072971836794515
Fbxo17,-0.1402024906745355,0.17537351672987603,0.253,0.6072971836794515
Ermp1,-0.14016607444275284,0.17548678771004944,0.474,0.6072971836794515
Fau,-0.1401595744680851,0.1755070112218091,0.989,0.6072971836794515
Srpr,-0.14015754759362908,0.1755133178299444,0.832,0.6072971836794515
Acads,-0.14014414918390147,0.17555501108749816,0.653,0.6072971836794515
Tspyl4,-0.14014369110076572,0.17555643668202672,0.137,0.6072971836794515
Adnp,-0.14013491314423257,0.1755837560867269,0.768,0.6072971836794515
Bpnt2,-0.14011247206331418,0.17565361305870333,0.842,0.6072971836794515
Ckap2l,-0.14007174451703464,0.17578044616299965,0.116,0.6072971836794515
Me2,-0.14006187417566332,0.17581119434244802,0.547,0.6072971836794515
Vps37d,-0.1399756137998086,0.17608008142170348,0.158,0.6080510605781978
Sec23a,-0.13991659058380082,0.1762642397457356,0.768,0.6084682582630392
Dcaf12,-0.1399044150382092,0.17630224623112462,0.747,0.6084682582630392
Ddi2,-0.13983898219930677,0.1765066005700104,0.663,0.6088632114753665
Enox1,-0.1398226208343023,0.17655772614164456,0.379,0.6088632114753665
Tbpl1,-0.13979732570259057,0.17663678908477892,0.495,0.6088632114753665
Pold3,-0.13977813692761337,0.1766967831950496,0.4,0.6088632114753665
Rnf8,-0.13977220630354284,0.176715328438054,0.526,0.6088632114753665
Fyco1,-0.13974307501003191,0.1768064436033174,0.621,0.6088632114753665
Card19,-0.139729015187457,0.17685043141767848,0.737,0.6088632114753665
Tpx2,-0.13972858064185545,0.17685179107266508,0.2,0.6088632114753665
Cct6a,-0.13970573916142867,0.17692327084405482,0.842,0.6088632114753665
Zfp827,-0.1397055786560152,0.1769237732020949,0.505,0.6088632114753665
Psph,-0.13960949433160957,0.1772246905068606,0.453,0.6095493723620382
Abtb1,-0.13954668172067392,0.17742160993159295,0.274,0.6100519102086588
Pbx3,-0.1395228565105778,0.17749634460016508,0.411,0.6101341567747445
Uxt,-0.13948680385462092,0.17760947804141056,0.579,0.610202473339179
Ube2v2,-0.13947122273695292,0.17765838802169634,0.758,0.610202473339179
Gm15832,-0.13945847427992245,0.17769841346315143,0.147,0.610202473339179
Cdc37l1,-0.13926805219633898,0.17829705475507615,0.621,0.6110071052451739
Gmds,-0.1392573939650846,0.1783306052518731,0.495,0.6110071052451739
Actl6a,-0.13923738834729482,0.17839359238349597,0.611,0.6110071052451739
Lrrc20,-0.1392126225243121,0.1784715894459733,0.263,0.6110071052451739
Nxn,-0.13919641114251652,0.1785226588123383,0.832,0.6110071052451739
Mrpl52,-0.1391831321766018,0.17856449840137545,0.895,0.6110071052451739
Gramd1b,-0.13914972276352483,0.17866979708471778,0.589,0.6110401563127172
Mef2d,-0.13914777477130857,0.17867593810393523,0.779,0.6110401563127172
Cdc5l,-0.13911877347298607,0.17876738257569905,0.758,0.6111788048366795
Wsb1,-0.1389991727400701,0.17914485947424774,0.695,0.6121020972603337
Nsun2,-0.13897296226662065,0.179227661286838,0.621,0.6121020972603337
Rab26os,-0.13893711596337932,0.1793409490819058,0.2,0.6122680624470977
Pomgnt2,-0.13878477877378342,0.17982297614286238,0.137,0.6132162665570431
Atxn2l,-0.13874993200715752,0.17993337167017223,0.716,0.613418510404247
