sample,treatment,pseudotime,pseudotime_rank,window,iCAF,myCAF,pc1_siggenes
GSM9850799,RMC6236,0.0,67,W3,0.4916755698005697,0.4916755698005697,2.8391028162456515
GSM9850799,RMC6236,-0.07687361506805945,45,W2,0.4219640313390313,0.4988376464070908,0.8588718447105302
GSM9850799,RMC6236,-0.06407288698955366,50,W3,0.4862644428616651,0.5503373298512187,2.730529250156688
GSM9850799,RMC6236,0.05683167141500478,77,W4,0.4975021763216207,0.4406705049066159,3.565704974435886
GSM9850799,RMC6236,-0.0858830919594808,38,W2,0.3738425925925926,0.4597256845520734,2.236544298039104
GSM9850799,RMC6236,0.05352761949984164,76,W4,0.57525621240899,0.5217285929091484,2.12322919250931
GSM9850799,RMC6236,-0.24849388651471993,13,W1,0.4675357114593225,0.7160295979740424,0.20552316016365998
GSM9850799,RMC6236,0.07196205286483082,78,W4,0.4665786245647358,0.394616571699905,1.6817912364205225
GSM9850799,RMC6236,0.0,62,W3,0.4943613485280152,0.4943613485280152,3.745901316482611
GSM9850799,RMC6236,0.31045227920227925,93,W4,0.6704504985754985,0.3599982193732193,2.8738407849474563
GSM9850799,RMC6236,-0.07137345679012352,49,W3,0.5519176361190249,0.6232910929091484,1.7010571493837296
GSM9850799,RMC6236,-0.07872843463121237,44,W2,0.5187880856283634,0.5975165202595758,3.189695978352523
GSM9850799,RMC6236,0.1640303497942387,87,W4,0.6529162709718265,0.4888859211775878,2.0114184939296
GSM9850799,RMC6236,-0.023640293605571294,55,W3,0.595048373694207,0.6186886672997783,0.3078527140444508
GSM9850799,RMC6236,-0.020059255302310786,56,W3,0.5414984963596075,0.5615577516619182,-0.45265417495378074
GSM9850799,RMC6236,-0.0900230492244381,36,W2,0.3967236467236467,0.4867466959480848,2.5887929024511007
GSM9850799,RMC6236,0.010117422443811419,72,W4,0.4753828347578348,0.4652654123140234,1.535025741907697
GSM9850799,RMC6236,0.0074811055713834285,69,W3,0.5047977999366889,0.4973166943653055,1.575630792478005
