gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
Pdcd5	6097	400	2364	3060	558	272	311
Pdcd6	3072	375	1631	1823	307	276	234
Pdcd6ip	2398	587	2096	2669	626	283	220
Pdcd7	469	60	288	321	79	44	26
Pdcl	515	123	305	357	97	48	38
Pdcl2	0	0	0	0	0	0	0
Pdcl3	956	171	622	1008	187	132	134
Pde10a	1589	171	4920	4112	374	94	102
Pde11a	4	3	65	457	12	13	19
Pde12	391	41	269	353	65	20	26
Pde1a	887	149	1033	1063	610	97	112
Pde1b	60	0	62	32	3	5	1
Pde1c	169	20	1435	462	95	203	185
Pde2a	149	14	5	8	4	7	10
Pde3a	488	119	3076	2112	920	166	115
Pde3b	347	44	943	917	130	80	68
Pde4a	391	68	220	230	82	26	25
Pde4b	1099	100	2775	2258	159	163	91
Pde4c	9	1	787	401	11	0	0
Pde4d	492	46	4727	3813	383	341	302
Pde4dip	650	122	1033	1017	196	104	150
Pde5a	682	26	545	322	93	16	64
Pde6a	42	2	27	22	2	0	1
Pde6b	0	0	3	0	1	0	1
Pde6c	0	0	2	0	0	0	0
Pde6d	487	64	313	451	111	45	39
Pde6g	3	0	0	2	1	0	0
Pde6h	6	0	9	3	3	2	1
Pde7a	338	52	578	767	262	81	57
Pde7b	103	30	2140	2264	308	203	227
Pde8a	650	116	1140	1593	501	82	43
Pde8b	11	1	80	41	17	1	0
Pde9a	11	3	12	5	2	0	0
Pdf	5	0	13	17	2	3	4
Pdgfa	1597	141	825	1013	152	47	61
Pdgfb	154	11	49	59	4	18	4
Pdgfc	334	53	859	1025	291	19	111
Pdgfd	93	48	1107	1231	482	51	30
Pdgfra	4326	807	4498	5304	1887	819	430
Pdgfrb	5030	337	1850	2272	374	103	217
Pdgfrl	1798	65	967	719	119	7	29
Pdha1	2012	298	1170	1496	316	119	141
Pdha2	0	0	0	0	0	0	0
Pdhb	1225	127	563	545	110	76	68
Pdhx	216	37	229	227	55	29	20
Pdia2	69	1	0	0	40	0	0
Pdia3	18264	2151	8917	11693	2553	971	862
Pdia4	4771	642	2114	3204	753	428	295
Pdia5	1413	66	654	1176	132	30	64
Pdia6	11620	1067	4254	7519	1203	618	582
Pdik1l	196	33	118	177	42	23	36
Pdilt	0	0	0	0	0	0	0
Pdk1	675	65	527	320	30	40	109
Pdk2	212	32	88	94	26	9	11
Pdk3	591	65	551	541	93	62	51
Pdk4	32	8	84	30	65	8	4
Pdlim1	1299	264	1745	2056	316	178	230
Pdlim2	3708	261	931	1635	439	42	43
Pdlim3	55	33	103	83	26	11	2
Pdlim4	2604	183	784	1426	189	106	128
Pdlim5	1782	307	3931	4539	768	340	196
Pdlim7	3949	217	2110	2648	343	167	246
Pdp1	193	90	150	179	44	47	30
Pdp2	162	24	73	126	14	13	6
Pdpk1	910	134	907	1174	301	95	89
Pdpn	5952	879	8466	7454	946	408	367
Pdpr	174	41	171	191	74	28	22
Pdrg1	1928	120	398	806	142	62	60
Pds5a	1322	211	1466	1583	396	179	139
Pds5b	1044	193	1040	1358	504	133	93
Pdss1	89	11	173	237	56	14	23
Pdss2	139	24	630	708	194	62	53
Pdx1	50	4	4	3	0	3	4
Pdxdc1	2092	196	1774	2206	353	125	125
Pdxk	379	72	378	517	83	24	12
Pdxp	136	7	56	56	8	9	12
Pdyn	0	0	1	0	0	0	0
Pdzd11	1616	115	435	669	91	65	91
Pdzd2	441	125	357	474	572	25	10
Pdzd3	1	0	6	0	0	0	0
Pdzd4	114	20	100	212	54	15	10
Pdzd7	3	0	5	0	3	0	0
Pdzd8	863	108	1010	1061	226	67	56
Pdzd9	2	0	4	5	1	0	1
Pdzk1	0	0	17	4	0	1	0
Pdzk1ip1	27	0	1	3	2	10	0
Pdzph1	6	0	1	0	1	0	0
Pdzrn3	1853	213	12797	11468	1758	420	761
Pdzrn4	1	6	27	60	9	30	8
Pea15a	2391	246	1131	1407	354	128	104
Peak1	2150	207	5250	5542	1328	300	260
Peak1os	2	0	20	5	1	0	0
Pear1	925	151	596	443	95	106	84
Pebp1	9980	819	3081	4109	652	381	505
Pebp4	0	0	2	9	2	0	0
Pecam1	105	2	310	310	42	29	1
Pecr	286	36	93	138	24	34	22
Pef1	601	118	301	401	70	67	66
Peg10	63	15	157	167	55	0	3
Peg12	115	16	25	55	7	0	2
Peg13	219	74	0	0	0	23	10
Peg3	1087	65	268	657	410	29	7
Peli1	1063	208	2604	3007	524	222	125
Peli2	446	54	894	1048	399	27	7
Peli3	36	16	11	14	10	6	6
Pelo	800	61	39	28	5	50	35
Pelp1	749	173	471	469	130	130	69
Pemt	98	19	57	57	14	9	12
Penk	7022	215	3845	2533	847	462	188
Pepd	630	80	394	680	84	73	69
Per1	852	125	1349	851	258	34	51
Per2	125	19	549	362	57	27	11
Per3	216	135	175	150	29	56	9
Perm1	2	1	1	5	0	0	0
Perp	39	14	34	13	2	12	7
Pes1	926	116	415	487	90	54	38
